date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-10,California,State,Omicron,0.0,0.0,0.42857142857,0.085494442861
2021-01-10,California,State,Delta,0.0,0.0,1.42857142857,0.284981476204
2021-01-10,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-10,California,State,Alpha,0.0,0.0,6.71428571428,1.339412938159
2021-01-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-11,California,State,Total,564.0,100.0,404.42857142857,100.0
2021-01-11,California,State,Other,281.0,49.82,181.71428571428,44.931119745673
2021-01-11,California,State,Beta,1.0,0.18,0.14285714285,0.035323207347
2021-01-11,California,State,Delta,2.0,0.35,1.0,0.247262451431
2021-01-11,California,State,Omicron,0.0,0.0,0.42857142857,0.105969622042
2021-01-11,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-11,California,State,Epsilon,271.0,48.05,213.85714285714,52.878841398799
2021-01-11,California,State,Mu,1.0,0.18,0.14285714285,0.035323207347
2021-01-11,California,State,Alpha,8.0,1.42,7.14285714285,1.766160367361
2021-01-11,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-12,California,State,Beta,0.0,0.0,0.14285714285,0.038343558282
2021-01-12,California,State,Mu,0.0,0.0,0.14285714285,0.038343558282
2021-01-12,California,State,Alpha,9.0,1.64,6.14285714285,1.648773006135
2021-01-12,California,State,Epsilon,297.0,54.2,198.85714285714,53.374233128834
2021-01-12,California,State,Gamma,1.0,0.18,0.14285714285,0.038343558282
2021-01-12,California,State,Omicron,0.0,0.0,0.42857142857,0.115030674847
2021-01-12,California,State,Delta,1.0,0.18,1.14285714285,0.306748466258
2021-01-12,California,State,Other,240.0,43.8,165.57142857142,44.44018404908
2021-01-12,California,State,Total,548.0,100.0,372.57142857142,100.0
2021-01-12,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-13,California,State,Gamma,0.0,0.0,0.14285714285,0.036179450072
2021-01-13,California,State,Other,213.0,41.12,173.57142857142,43.958031837916
2021-01-13,California,State,Mu,0.0,0.0,0.14285714285,0.036179450072
2021-01-13,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-13,California,State,Epsilon,293.0,56.56,212.42857142857,53.798842257598
2021-01-13,California,State,Beta,0.0,0.0,0.14285714285,0.036179450072
2021-01-13,California,State,Omicron,2.0,0.39,0.42857142857,0.108538350217
2021-01-13,California,State,Delta,1.0,0.19,1.0,0.253256150507
2021-01-13,California,State,Alpha,9.0,1.74,7.0,1.772793053546
2021-01-13,California,State,Total,518.0,100.0,394.85714285714,100.0
2021-01-14,California,State,Gamma,0.0,0.0,0.14285714285,0.031938677739
2021-01-14,California,State,Omicron,0.0,0.0,0.28571428571,0.063877355477
2021-01-14,California,State,Epsilon,413.0,62.39,249.57142857142,55.796870009582
2021-01-14,California,State,Alpha,14.0,2.11,6.85714285714,1.53305653146
2021-01-14,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-14,California,State,Total,662.0,100.0,447.28571428571,100.0
2021-01-14,California,State,Other,235.0,35.5,189.14285714285,42.286809326094
2021-01-14,California,State,Mu,0.0,0.0,0.14285714285,0.031938677739
2021-01-14,California,State,Delta,0.0,0.0,1.0,0.223570744171
2021-01-14,California,State,Beta,0.0,0.0,0.14285714285,0.031938677739
2021-01-15,California,State,Epsilon,316.0,55.73,283.57142857142,55.899746550268
2021-01-15,California,State,Other,241.0,42.5,214.28571428571,42.241622078288
2021-01-15,California,State,Mu,0.0,0.0,0.14285714285,0.028161081386
2021-01-15,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-15,California,State,Beta,0.0,0.0,0.14285714285,0.028161081386
2021-01-15,California,State,Total,567.0,100.0,507.28571428571,100.0
2021-01-15,California,State,Delta,2.0,0.35,1.0,0.197127569699
2021-01-15,California,State,Gamma,0.0,0.0,0.14285714285,0.028161081386
2021-01-15,California,State,Omicron,0.0,0.0,0.28571428571,0.056322162771
2021-01-15,California,State,Alpha,8.0,1.41,7.71428571428,1.520698394818
2021-01-16,California,State,Epsilon,386.0,52.66,295.14285714285,55.078645694481
2021-01-16,California,State,Omicron,0.0,0.0,0.28571428571,0.053319114903
2021-01-16,California,State,Beta,0.0,0.0,0.14285714285,0.026659557451
2021-01-16,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-16,California,State,Alpha,17.0,2.32,9.28571428571,1.732871234338
2021-01-16,California,State,Mu,0.0,0.0,0.14285714285,0.026659557451
2021-01-16,California,State,Total,733.0,100.0,535.85714285714,100.0
2021-01-16,California,State,Gamma,0.0,0.0,0.14285714285,0.026659557451
2021-01-16,California,State,Delta,0.0,0.0,0.85714285714,0.159957344708
2021-01-16,California,State,Other,330.0,45.02,229.85714285714,42.895227939216
2021-01-17,California,State,Other,128.0,41.16,238.28571428571,42.736356648732
2021-01-17,California,State,Epsilon,179.0,57.56,307.85714285714,55.213937996413
2021-01-17,California,State,Mu,0.0,0.0,0.14285714285,0.025621316936
2021-01-17,California,State,Beta,0.0,0.0,0.14285714285,0.025621316936
2021-01-17,California,State,Delta,0.0,0.0,0.85714285714,0.153727901614
2021-01-17,California,State,Alpha,3.0,0.96,9.71428571428,1.742249551627
2021-01-17,California,State,Total,311.0,100.0,557.57142857142,100.0
2021-01-17,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-17,California,State,Gamma,1.0,0.32,0.28571428571,0.051242633871
2021-01-17,California,State,Omicron,0.0,0.0,0.28571428571,0.051242633871
2021-01-18,California,State,Gamma,0.0,0.0,0.28571428571,0.048995590397
2021-01-18,California,State,Omicron,0.0,0.0,0.28571428571,0.048995590397
2021-01-18,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-18,California,State,Other,303.0,40.78,241.42857142857,41.40127388535
2021-01-18,California,State,Total,743.0,100.0,583.14285714285,100.0
2021-01-18,California,State,Delta,1.0,0.13,0.71428571428,0.122488975992
2021-01-18,California,State,Epsilon,426.0,57.34,330.0,56.589906908378
2021-01-18,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-18,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-18,California,State,Alpha,13.0,1.75,10.42857142857,1.788339049486
2021-01-19,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-19,California,State,Alpha,18.0,1.5,11.71428571428,1.732882502113
2021-01-19,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-19,California,State,Delta,1.0,0.08,0.71428571428,0.105663567202
2021-01-19,California,State,Omicron,1.0,0.08,0.42857142857,0.063398140321
2021-01-19,California,State,Gamma,0.0,0.0,0.14285714285,0.02113271344
2021-01-19,California,State,Other,519.0,43.32,281.28571428571,41.610312764159
2021-01-19,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-19,California,State,Total,1198.0,100.0,676.0,100.0
2021-01-19,California,State,Epsilon,659.0,55.01,381.71428571428,56.466610312764
2021-01-20,California,State,Epsilon,142.0,60.17,360.14285714285,56.651685393258
2021-01-20,California,State,Gamma,2.0,0.85,0.42857142857,0.067415730337
2021-01-20,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-20,California,State,Total,236.0,100.0,635.71428571428,100.0
2021-01-20,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-20,California,State,Omicron,0.0,0.0,0.14285714285,0.022471910112
2021-01-20,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-20,California,State,Delta,0.0,0.0,0.57142857142,0.089887640449
2021-01-20,California,State,Other,77.0,32.63,261.85714285714,41.191011235955
2021-01-20,California,State,Alpha,15.0,6.36,12.57142857142,1.977528089888
2021-01-21,California,State,Alpha,27.0,38.57,14.42857142857,2.617936754795
2021-01-21,California,State,Gamma,0.0,0.0,0.42857142857,0.077760497667
